Node,Category,Metric,Value
1,Size,Requests Sent,128
1,Size,Requests Received,49
1,Size,Replies Sent,49
1,Size,Replies Received,128
1,Size,Request Bytes Sent,89452
1,Size,Request Bytes Received,51904
1,Size,Request Data Sent,84076
1,Size,Request Data Received,49846
1,Time,Avg RTT (ms),2.564851562508963
1,Time,Throughput (kB/s),272.4694716119884
1,Time,Goodput (kB/s),256.0942549663455
1,Time,Avg Reply Delay (us),55.51020409229193

2,Size,Requests Sent,82
2,Size,Requests Received,160
2,Size,Replies Sent,160
2,Size,Replies Received,82
2,Size,Request Bytes Sent,53040
2,Size,Request Bytes Received,113816
2,Size,Request Data Sent,49596
2,Size,Request Data Received,107096
2,Time,Avg RTT (ms),2.677170731704159
2,Time,Throughput (kB/s),241.60927079945412
2,Time,Goodput (kB/s),225.92106701677463
2,Time,Avg Reply Delay (us),55.64999998952658

3,Size,Requests Sent,72
3,Size,Requests Received,98
3,Size,Replies Sent,98
3,Size,Replies Received,72
3,Size,Request Bytes Sent,53070
3,Size,Request Bytes Received,62908
3,Size,Request Data Sent,50046
3,Size,Request Data Received,58792
3,Time,Avg RTT (ms),2.779374999977651
3,Time,Throughput (kB/s),265.1975114330597
3,Time,Goodput (kB/s),250.08620043676095
3,Time,Avg Reply Delay (us),54.85714284552452

4,Size,Requests Sent,108
4,Size,Requests Received,86
4,Size,Replies Sent,86
4,Size,Replies Received,108
4,Size,Request Bytes Sent,75232
4,Size,Request Bytes Received,42388
4,Size,Request Data Sent,70696
4,Size,Request Data Received,38776
4,Time,Avg RTT (ms),3.038453703688312
4,Time,Throughput (kB/s),229.25891276441507
4,Time,Goodput (kB/s),215.43609231169035
4,Time,Avg Reply Delay (us),53.313953492571